City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,santana,-0.0583,-51.1817,26.1,94,0,2.06,BR,1688902442
215,nuku'alofa,-21.1333,-175.2,18.19,100,20,1.03,TO,1688902356
216,bardai,11.65,7.2333,31.6,44,66,2.3,NG,1688902442
217,sidney,-33.8679,151.2073,13.68,65,0,7.2,AU,1688902256
218,t'ongch'on-up,38.9539,127.8917,21.82,96,76,1.15,KP,1688902442
219,havre,49.5833,0.3333,20.75,94,75,2.06,FR,1688902442
220,kayar,14.9192,-17.1211,30.11,73,43,4.12,SN,1688902442
221,ben tre,10.2333,106.3833,25.67,92,91,1.93,VN,1688902443
222,tucuma,-0.1833,-50.05,27.61,75,10,2.25,BR,1688902443
223,port lincoln,-34.7333,135.8667,12.44,80,90,2.02,AU,1688902443
224,wewak,-3.5534,143.6268,25.71,85,87,1.32,PG,1688902443
225,colonia,50.9333,6.95,36.9,37,0,2.57,DE,1688902201
226,san luis,-33.295,-66.3356,10.52,70,45,1.58,AR,1688902247
227,antsiranana,-12.2787,49.2917,29.42,45,20,6.17,MG,1688902443
228,aasiaat,68.7098,-52.8699,5.34,89,97,1.32,GL,1688902444
229,long beach,33.767,-118.1892,18.65,88,100,1.54,US,1688902444
230,el hamma,33.8915,9.7963,43.62,12,3,1.78,TN,1688902444
231,lichtenburg,-26.152,26.1597,11.88,27,0,6.88,ZA,1688902444
232,karratha,-20.7377,116.8463,21.98,57,2,1.83,AU,1688902444
233,coxen hole,16.3244,-86.5366,30.2,81,96,1.79,HN,1688902444
234,mundra,22.85,69.7333,30.76,73,98,7.9,IN,1688902445
235,copiapo,-27.3667,-70.3333,9.83,48,100,0.66,CL,1688902445
236,toliara,-23.35,43.6667,27.03,45,1,3.9,MG,1688902445
237,howard springs,-12.497,131.047,24.95,69,63,2.08,AU,1688902445
238,mainaguri,26.5667,88.8167,29.92,83,91,0.61,IN,1688902445
239,bernardo de irigoyen,-26.2552,-53.6458,14.63,99,75,1.07,AR,1688902445
240,palikir - national government center,6.9248,158.1611,27.41,83,75,2.06,FM,1688902446
241,senanga,-16.1167,23.2667,28.58,14,0,1.5,ZM,1688902446
242,yeosu,34.7546,127.6599,23.78,97,100,2.05,KR,1688902446
243,hohhot,40.8106,111.6522,29.16,30,0,5.0,CN,1688902446
244,kloulklubed,7.0419,134.2556,26.28,73,30,3.85,PW,1688902446
245,ust'-kut,56.7938,105.7672,19.47,89,70,1.47,RU,1688902447
246,siwa oasis,29.2041,25.5195,37.15,20,0,4.53,EG,1688902447
247,hithadhoo,-0.6,73.0833,27.96,65,92,1.05,MV,1688902447
248,mounana,-1.4085,13.1586,23.95,36,39,0.94,GA,1688902447
249,naha,26.2125,127.6811,29.15,84,20,3.6,JP,1688901928
250,callao,-12.0667,-77.15,20.16,77,100,6.69,PE,1688902447
251,nuuk,64.1835,-51.7216,10.34,71,75,0.51,GL,1688902447
252,prenzlau,53.3167,13.8667,29.95,27,23,1.22,DE,1688902448
253,praia da vitoria,38.7333,-27.0667,24.14,73,40,3.45,PT,1688902448
254,qarazhal,48.0078,70.7903,31.58,17,79,5.21,KZ,1688902448
255,corbelia,-24.7989,-53.3067,16.89,94,92,3.43,BR,1688902448
256,queenstown,-31.8976,26.8753,8.65,42,34,9.81,ZA,1688902448
257,lakatoro,-16.0999,167.4164,23.99,75,87,5.25,VU,1688902448
258,cova figueira,14.8905,-24.2934,23.5,79,37,5.84,CV,1688902449
259,hammerfest,70.6634,23.6821,13.25,62,0,2.06,NO,1688902449
260,buta,2.7858,24.73,23.63,79,100,0.46,CD,1688902449
261,reggane,26.7158,0.1714,45.44,5,2,6.81,DZ,1688902449
262,morehead city,34.7229,-76.726,27.23,90,0,0.0,US,1688902449
263,port douglas,-16.4833,145.4667,19.91,81,96,3.19,AU,1688902449
264,kiunga,-6.1219,141.2906,23.5,100,100,0.79,PG,1688902449
265,manokwari,-0.8667,134.0833,25.86,83,95,2.11,ID,1688902450
266,naracoorte,-36.9579,140.7383,10.87,90,97,3.55,AU,1688902450
267,berezovyy,51.6667,135.7,18.9,98,70,2.64,RU,1688902450
268,grande prairie,55.1667,-118.8027,16.1,88,0,1.54,CA,1688902450
269,assab,13.0092,42.7394,35.16,56,84,9.79,ER,1688902450
270,kalinkavichy,52.1323,29.3257,24.12,41,4,6.36,BY,1688902450
271,marsh harbour,26.5412,-77.0636,29.25,73,73,6.64,BS,1688902450
272,champerico,14.3,-91.9167,25.4,83,94,2.44,GT,1688902451
273,hasaki,35.7333,140.8333,28.45,85,95,5.63,JP,1688902451
274,lungani,47.1833,27.15,26.24,39,87,7.98,RO,1688902451
275,butembo,0.15,29.2833,18.79,82,97,1.15,CD,1688902451
276,iquique,-20.2208,-70.1431,17.02,75,65,2.05,CL,1688902451
277,det udom,14.906,105.0784,28.9,73,85,3.74,TH,1688902451
278,vernon,50.2581,-119.2691,20.72,49,17,3.6,CA,1688902452
